階級,階級値,度数,相対度数,累積相対度数
0,3e-06,1785,0.9889196675900277,0.9889196675900277
1,0.0026306464646464645,0,0.0,0.9889196675900277
2,0.005258292929292929,0,0.0,0.9889196675900277
3,0.007885939393939393,0,0.0,0.9889196675900277
4,0.010513585858585858,0,0.0,0.9889196675900277
5,0.013141232323232322,0,0.0,0.9889196675900277
6,0.015768878787878787,0,0.0,0.9889196675900277
7,0.01839652525252525,0,0.0,0.9889196675900277
8,0.021024171717171716,0,0.0,0.9889196675900277
9,0.02365181818181818,0,0.0,0.9889196675900277
10,0.026279464646464645,0,0.0,0.9889196675900277
11,0.02890711111111111,0,0.0,0.9889196675900277
12,0.03153475757575758,0,0.0,0.9889196675900277
13,0.03416240404040404,0,0.0,0.9889196675900277
14,0.036790050505050506,0,0.0,0.9889196675900277
15,0.03941769696969697,0,0.0,0.9889196675900277
16,0.042045343434343435,0,0.0,0.9889196675900277
17,0.0446729898989899,0,0.0,0.9889196675900277
18,0.047300636363636364,0,0.0,0.9889196675900277
19,0.04992828282828283,0,0.0,0.9889196675900277
20,0.05255592929292929,0,0.0,0.9889196675900277
21,0.05518357575757576,0,0.0,0.9889196675900277
22,0.05781122222222222,0,0.0,0.9889196675900277
23,0.06043886868686869,0,0.0,0.9889196675900277
24,0.06306651515151515,0,0.0,0.9889196675900277
25,0.06569416161616162,0,0.0,0.9889196675900277
26,0.06832180808080808,0,0.0,0.9889196675900277
27,0.07094945454545454,0,0.0,0.9889196675900277
28,0.07357710101010101,0,0.0,0.9889196675900277
29,0.07620474747474748,0,0.0,0.9889196675900277
30,0.07883239393939394,0,0.0,0.9889196675900277
31,0.0814600404040404,0,0.0,0.9889196675900277
32,0.08408768686868687,0,0.0,0.9889196675900277
33,0.08671533333333334,0,0.0,0.9889196675900277
34,0.0893429797979798,0,0.0,0.9889196675900277
35,0.09197062626262625,0,0.0,0.9889196675900277
36,0.09459827272727273,0,0.0,0.9889196675900277
37,0.0972259191919192,0,0.0,0.9889196675900277
38,0.09985356565656565,0,0.0,0.9889196675900277
39,0.10248121212121211,0,0.0,0.9889196675900277
40,0.10510885858585858,0,0.0,0.9889196675900277
41,0.10773650505050505,0,0.0,0.9889196675900277
42,0.11036415151515151,0,0.0,0.9889196675900277
43,0.11299179797979797,0,0.0,0.9889196675900277
44,0.11561944444444444,0,0.0,0.9889196675900277
45,0.11824709090909091,0,0.0,0.9889196675900277
46,0.12087473737373737,0,0.0,0.9889196675900277
47,0.12350238383838383,0,0.0,0.9889196675900277
48,0.1261300303030303,0,0.0,0.9889196675900277
49,0.12875767676767677,0,0.0,0.9889196675900277
50,0.13138532323232324,0,0.0,0.9889196675900277
51,0.13401296969696969,0,0.0,0.9889196675900277
52,0.13664061616161616,0,0.0,0.9889196675900277
53,0.13926826262626263,0,0.0,0.9889196675900277
54,0.14189590909090907,0,0.0,0.9889196675900277
55,0.14452355555555554,0,0.0,0.9889196675900277
56,0.14715120202020202,0,0.0,0.9889196675900277
57,0.1497788484848485,0,0.0,0.9889196675900277
58,0.15240649494949496,0,0.0,0.9889196675900277
59,0.1550341414141414,0,0.0,0.9889196675900277
60,0.15766178787878787,0,0.0,0.9889196675900277
61,0.16028943434343434,0,0.0,0.9889196675900277
62,0.1629170808080808,0,0.0,0.9889196675900277
63,0.16554472727272726,0,0.0,0.9889196675900277
64,0.16817237373737373,0,0.0,0.9889196675900277
65,0.1708000202020202,0,0.0,0.9889196675900277
66,0.17342766666666667,0,0.0,0.9889196675900277
67,0.17605531313131312,0,0.0,0.9889196675900277
68,0.1786829595959596,0,0.0,0.9889196675900277
69,0.18131060606060606,0,0.0,0.9889196675900277
70,0.1839382525252525,0,0.0,0.9889196675900277
71,0.18656589898989898,0,0.0,0.9889196675900277
72,0.18919354545454545,0,0.0,0.9889196675900277
73,0.19182119191919192,0,0.0,0.9889196675900277
74,0.1944488383838384,0,0.0,0.9889196675900277
75,0.19707648484848483,0,0.0,0.9889196675900277
76,0.1997041313131313,0,0.0,0.9889196675900277
77,0.20233177777777778,0,0.0,0.9889196675900277
78,0.20495942424242422,0,0.0,0.9889196675900277
79,0.2075870707070707,0,0.0,0.9889196675900277
80,0.21021471717171716,0,0.0,0.9889196675900277
81,0.21284236363636364,0,0.0,0.9889196675900277
82,0.2154700101010101,0,0.0,0.9889196675900277
83,0.21809765656565655,0,0.0,0.9889196675900277
84,0.22072530303030302,0,0.0,0.9889196675900277
85,0.2233529494949495,0,0.0,0.9889196675900277
86,0.22598059595959594,0,0.0,0.9889196675900277
87,0.2286082424242424,0,0.0,0.9889196675900277
88,0.23123588888888888,0,0.0,0.9889196675900277
89,0.23386353535353535,0,0.0,0.9889196675900277
90,0.23649118181818182,0,0.0,0.9889196675900277
91,0.23911882828282827,0,0.0,0.9889196675900277
92,0.24174647474747474,0,0.0,0.9889196675900277
93,0.2443741212121212,0,0.0,0.9889196675900277
94,0.24700176767676765,4,0.00221606648199446,0.9911357340720222
95,0.24962941414141412,3,0.0016620498614958448,0.992797783933518
96,0.25225706060606057,6,0.0033240997229916896,0.9961218836565097
97,0.25488470707070704,0,0.0,0.9961218836565097
98,0.2575123535353535,1,0.000554016620498615,0.9966759002770083
99,0.26014,6,0.0033240997229916896,0.9999999999999999
